"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042472","inner ear morphogenesis","22/657","103/18800",6.7895743963332e-12,2.58312444078677e-09,2.30130837433609e-09,"TFAP2A/FGFR2/SIX1/ZIC1/MYO3B/DLX5/ATP6V1B1/PAX8/SOX9/DLX6/EYA1/SLC44A4/HMX3/STOX1/PLS1/FGF8/HPN/FZD6/FGF9/GRHL3/COL2A1/SIX4",22
"BP","GO:0045109","intermediate filament organization","18/657","68/18800",1.1947521508955e-11,4.16669812624805e-09,3.71211589339636e-09,"KRT6A/KRT5/KRT16/KRT14/KRT23/KRT31/KRT13/DSP/KRT7/KRT17/KRT81/KRT19/KRT80/KRT6B/KRT75/KRT6C/KRT15/TCHH",18
"BP","GO:0051783","regulation of nuclear division","23/657","139/18800",5.23800583888474e-10,1.67278748111851e-07,1.49028818666208e-07,"MSX1/NEK2/MSX2/DLGAP5/BMP7/CENPF/TTK/MKI67/CDC20/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/CDCA2/FGF8/PLCB1/TRIP13/TOM1L1/CDC25C/NUSAP1/PLK1",23
"BP","GO:0002064","epithelial cell development","28/657","203/18800",5.59594378390898e-10,1.67278748111851e-07,1.49028818666208e-07,"GRHL2/ONECUT1/RAB25/SPDEF/FOXJ1/FOXA1/SOX9/ST14/TFCP2L1/MARVELD2/EXPH5/ESR1/IHH/KLF5/SPINT2/PODXL/DACT2/ABCA12/TYMS/CLDN3/POF1B/F11R/SHROOM3/SFN/PAX6/PLCB1/PDE4D/EZR",28
"BP","GO:0007389","pattern specification process","45/657","463/18800",6.16074667767144e-10,1.71884832307033e-07,1.53132384086402e-07,"MSX1/FGFR2/SIX1/FOXJ1/ZIC1/OVOL2/MSX2/PAX8/FOXA1/ENKUR/ERBB4/HOXB9/DNAAF1/HOXB5/HOXB6/HOXB8/EYA1/SOX17/HOXB4/TBX20/BMP7/IHH/SIM2/DNAH11/COBL/SP8/LRP2/EMX2/CDX2/HOXA9/CELSR2/DNAH5/HOXB7/XRCC2/HNF1B/SHROOM3/FGF8/GSC/PAX6/DKK1/FOXN4/HOXB2/PIFO/DNAI1/GRHL3",45
"BP","GO:0043583","ear development","29/657","219/18800",7.32431420748179e-10,1.80869262437704e-07,1.61136622663484e-07,"MSX1/TFAP2A/FGFR2/SIX1/ESRP1/ZIC1/MYO3B/DLX5/ATP6V1B1/PAX8/SOX9/DLX6/FREM2/EYA1/SLC44A4/HMX3/LGR5/STOX1/PLS1/GJB6/FGF8/FGF20/GSC/HPN/FZD6/FGF9/GRHL3/COL2A1/SIX4",29
"BP","GO:0048839","inner ear development","27/657","192/18800",7.34713849806681e-10,1.80869262437704e-07,1.61136622663484e-07,"TFAP2A/FGFR2/SIX1/ESRP1/ZIC1/MYO3B/DLX5/ATP6V1B1/PAX8/SOX9/DLX6/FREM2/EYA1/SLC44A4/HMX3/LGR5/STOX1/PLS1/GJB6/FGF8/FGF20/HPN/FZD6/FGF9/GRHL3/COL2A1/SIX4",27
"BP","GO:0090596","sensory organ morphogenesis","32/657","266/18800",1.14178292698679e-09,2.65464530524429e-07,2.36502639028492e-07,"MSX1/TFAP2A/FGFR2/SIX1/AQP5/ZIC1/MYO3B/DLX5/ATP6V1B1/PAX8/PROM1/SOX9/DLX6/EYA1/SLC44A4/BMP7/IHH/HMX3/STOX1/PLS1/GJB6/FGF8/GSC/PAX6/HPN/FOXN4/FZD6/RP1/FGF9/GRHL3/COL2A1/SIX4",32
"BP","GO:0060562","epithelial tube morphogenesis","36/657","328/18800",1.32906704473655e-09,2.92744504327497e-07,2.6080639736603e-07,"GRHL2/FGFR2/SIX1/OVOL2/MSX2/PAX8/FOXA1/SPINT1/SOX9/TACSTD2/ST14/DNAAF1/CXCL10/EYA1/SOX17/ESR1/TBX20/BMP7/IHH/SPINT2/CELSR1/PODXL/COBL/LGR5/LRP2/STOX1/HOXB7/EPHA7/HNF1B/SHROOM3/FGF8/FOXN4/FZD6/SEMA3E/GRHL3/SIX4",36
"BP","GO:0000280","nuclear division","43/657","446/18800",1.9167082228048e-09,4.01071195621904e-07,3.57314764482873e-07,"MSX1/NEK2/MSX2/CHMP4C/MAPK15/UBE2C/CCNB2/DLGAP5/BMP7/CENPF/KIF4A/TTK/CKS2/MKI67/TOP2A/NUF2/CDC20/ZWINT/BUB1/TPX2/CCNB1/CDT1/MYBL2/KIFC1/KIF15/MAD2L1/BUB1B/CDCA2/REC8/NCAPG/FGF8/PTTG1/CCNE1/ASPM/PLCB1/TRIP13/CCNA1/TOM1L1/ANLN/CDC25C/SPAG5/NUSAP1/PLK1",43
"BP","GO:0001655","urogenital system development","37/657","352/18800",2.59249865926064e-09,5.16647947095513e-07,4.6028221810031e-07,"EPCAM/TFAP2A/FGFR2/SIX1/FOXJ1/PAX8/FOXA1/PROM1/ERBB4/SOX9/TACSTD2/TP73/FREM2/EYA1/SERPINB5/SOX17/ESR1/BMP7/CENPF/PODXL/DACT2/LGR5/LRP2/ARG2/FRAS1/EMX2/TRAF3IP2/HOXB7/EPHA7/OVOL1/GCNT3/GCNT1/HNF1B/FGF8/HPGD/SIX4/CRIP1",37
"BP","GO:0048706","embryonic skeletal system development","21/657","127/18800",2.99720844267749e-09,5.70150787845694e-07,5.07947957127447e-07,"GRHL2/TFAP2A/FGFR2/SIX1/HOXB9/HOXB5/HOXB6/HOXB8/EYA1/HOXB4/BMP7/IHH/HOXA9/HOXB7/FGF8/GSC/HOXB2/FGF9/COL2A1/SIX4/KIAA1217",21
"BP","GO:0140014","mitotic nuclear division","33/657","293/18800",3.40397805183474e-09,6.1937600638819e-07,5.51802757876368e-07,"NEK2/CHMP4C/UBE2C/DLGAP5/BMP7/CENPF/KIF4A/TTK/MKI67/NUF2/CDC20/ZWINT/BUB1/TPX2/CCNB1/CDT1/MYBL2/KIFC1/KIF15/MAD2L1/BUB1B/CDCA2/REC8/NCAPG/FGF8/PTTG1/TRIP13/TOM1L1/ANLN/CDC25C/SPAG5/NUSAP1/PLK1",33
"BP","GO:0048704","embryonic skeletal system morphogenesis","18/657","94/18800",3.61521110775009e-09,6.30402436913921e-07,5.6162621682679e-07,"GRHL2/TFAP2A/FGFR2/SIX1/HOXB9/HOXB5/HOXB6/HOXB8/EYA1/HOXB4/BMP7/HOXA9/HOXB7/FGF8/GSC/HOXB2/COL2A1/SIX4",18
"BP","GO:0007088","regulation of mitotic nuclear division","19/657","111/18800",9.39258736613425e-09,1.57231912509087e-06,1.40078081898305e-06,"NEK2/DLGAP5/BMP7/CENPF/TTK/MKI67/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/CDCA2/FGF8/TRIP13/TOM1L1/CDC25C/NUSAP1/PLK1",19
"BP","GO:0071599","otic vesicle development","8/657","15/18800",1.10456014410011e-08,1.77791700117652e-06,1.58394819044639e-06,"FGFR2/SIX1/PAX8/SOX9/EYA1/STOX1/FGF8/COL2A1",8
"BP","GO:0000819","sister chromatid segregation","26/657","205/18800",1.38771166495554e-08,2.15095308068109e-06,1.91628643948247e-06,"NEK2/CHMP4C/MAPK15/UBE2C/DLGAP5/CENPF/KIF4A/TTK/TOP2A/NUF2/CDC20/ZWINT/BUB1/CCNB1/CDT1/KIFC1/MAD2L1/BUB1B/REC8/NCAPG/PTTG1/TRIP13/SPAG5/NUSAP1/ESCO2/PLK1",26
"BP","GO:0072001","renal system development","33/657","312/18800",1.63002272467796e-08,2.43630182242045e-06,2.17050394391328e-06,"EPCAM/TFAP2A/FGFR2/SIX1/FOXJ1/PAX8/PROM1/ERBB4/SOX9/TACSTD2/TP73/FREM2/EYA1/SOX17/BMP7/CENPF/PODXL/DACT2/LGR5/LRP2/ARG2/FRAS1/EMX2/TRAF3IP2/HOXB7/EPHA7/OVOL1/GCNT3/GCNT1/HNF1B/FGF8/HPGD/SIX4",33
"BP","GO:0007059","chromosome segregation","35/657","348/18800",2.179957907739e-08,3.14590477375439e-06,2.80268998519475e-06,"NEK2/CHMP4C/MAPK15/UBE2C/DLGAP5/CENPF/KIF4A/TTK/MKI67/TOP2A/NUF2/FAM83D/HJURP/CDC20/ZWINT/BUB1/CCNB1/CDT1/KIFC1/MAD2L1/BUB1B/CDCA2/REC8/NCAPG/PTTG1/CCNE1/TRIP13/CENPW/OIP5/SPC24/SKA1/SPAG5/NUSAP1/ESCO2/PLK1",35
"BP","GO:0001578","microtubule bundle formation","19/657","118/18800",2.64664912025541e-08,3.69207552275629e-06,3.2892740996297e-06,"FOXJ1/RSPH1/ZMYND10/DNAAF1/CCDC65/TPPP3/DNAAF3/SPEF1/TEKT2/SPAG17/DNAH5/CAPN6/SPAG1/RP1/GAS2L2/DNAJB13/DNAI1/SPEF2/PLK1",19
"BP","GO:0000070","mitotic sister chromatid segregation","23/657","171/18800",3.14042033330483e-08,4.17662181230343e-06,3.72095691609853e-06,"NEK2/CHMP4C/UBE2C/DLGAP5/CENPF/KIF4A/TTK/NUF2/CDC20/ZWINT/BUB1/CCNB1/CDT1/KIFC1/MAD2L1/BUB1B/REC8/NCAPG/PTTG1/TRIP13/SPAG5/NUSAP1/PLK1",23
"BP","GO:0048705","skeletal system morphogenesis","27/657","228/18800",3.19359373939569e-08,4.17662181230343e-06,3.72095691609853e-06,"GRHL2/MSX1/TFAP2A/FGFR2/SIX1/MSX2/DLX5/HOXB9/SOX9/HOXB5/HOXB6/HOXB8/EYA1/HOXB4/SP5/BMP7/IHH/PAPPA2/HOXA9/ATG9B/HOXB7/FGF8/GSC/HOXB2/COL2A1/SIX4/SPEF2",27
"BP","GO:0048285","organelle fission","43/657","493/18800",3.72700347442221e-08,4.72651804256272e-06,4.21086006583843e-06,"MSX1/NEK2/MSX2/CHMP4C/MAPK15/UBE2C/CCNB2/DLGAP5/BMP7/CENPF/KIF4A/TTK/CKS2/MKI67/TOP2A/NUF2/CDC20/ZWINT/BUB1/TPX2/CCNB1/CDT1/MYBL2/KIFC1/KIF15/MAD2L1/BUB1B/CDCA2/REC8/NCAPG/FGF8/PTTG1/CCNE1/ASPM/PLCB1/TRIP13/CCNA1/TOM1L1/ANLN/CDC25C/SPAG5/NUSAP1/PLK1",43
"BP","GO:0072175","epithelial tube formation","20/657","136/18800",5.51339809266297e-08,6.78634441699839e-06,6.04596162359512e-06,"GRHL2/FGFR2/SIX1/OVOL2/PAX8/SPINT1/SOX9/ST14/BMP7/SPINT2/CELSR1/PODXL/COBL/LRP2/HNF1B/SHROOM3/FGF8/FZD6/GRHL3/SIX4",20
"BP","GO:0048732","gland development","39/657","431/18800",6.16410461893031e-08,7.37050795149238e-06,6.56639355195523e-06,"ONECUT1/MSX1/FGFR2/SIX1/IRF6/ELF3/MSX2/BSX/PAX8/FOXA1/ERBB4/SLC29A2/HOXB9/SOX9/ATP2C2/DNAAF1/TFCP2L1/CDH1/SERPINB5/CCNB2/ESR1/PTPN3/EDAR/BMP7/IHH/CEACAM1/UCP2/COBL/TYMS/RAP1GAP/E2F7/HNF1B/FGF8/PAX6/HPN/EZH2/XBP1/SIX4/CRIP1",39
"BP","GO:0045839","negative regulation of mitotic nuclear division","12/657","48/18800",6.59907286646185e-08,7.6714222072619e-06,6.83447838976839e-06,"BMP7/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/TOM1L1/PLK1",12
"BP","GO:0035148","tube formation","21/657","152/18800",7.78715319211934e-08,8.80790165108634e-06,7.84696916258513e-06,"GRHL2/FGFR2/SIX1/OVOL2/PAX8/SPINT1/SOX9/ST14/EDAR/BMP7/SPINT2/CELSR1/PODXL/COBL/LRP2/HNF1B/SHROOM3/FGF8/FZD6/GRHL3/SIX4",21
"BP","GO:0051983","regulation of chromosome segregation","16/657","91/18800",9.3932053831028e-08,1.01971998045966e-05,9.08469639888855e-06,"MAPK15/UBE2C/DLGAP5/CENPF/TTK/MKI67/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/CDCA2/PTTG1/TRIP13/PLK1",16
"BP","GO:0001822","kidney development","31/657","303/18800",9.50276684299325e-08,1.01971998045966e-05,9.08469639888855e-06,"EPCAM/TFAP2A/FGFR2/SIX1/FOXJ1/PAX8/PROM1/ERBB4/SOX9/TACSTD2/TP73/FREM2/EYA1/SOX17/BMP7/CENPF/PODXL/DACT2/LRP2/ARG2/FRAS1/TRAF3IP2/HOXB7/EPHA7/OVOL1/GCNT3/GCNT1/HNF1B/FGF8/HPGD/SIX4",31
"BP","GO:0001763","morphogenesis of a branching structure","24/657","199/18800",1.31183417366143e-07,1.37250650419327e-05,1.22276753766021e-05,"GRHL2/FGFR2/SIX1/MSX2/PAX8/FOXA1/SPINT1/SOX9/TACSTD2/ST14/EYA1/ESR1/TBX20/BMP7/IHH/SPINT2/CELSR1/HOXB7/EPHA7/HNF1B/FGF8/BCL11A/SEMA3E/SIX4",24
"BP","GO:0033045","regulation of sister chromatid segregation","14/657","72/18800",1.61962612302195e-07,1.61384174401116e-05,1.43777336534931e-05,"MAPK15/UBE2C/DLGAP5/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",14
"BP","GO:1905818","regulation of chromosome separation","14/657","72/18800",1.61962612302195e-07,1.61384174401116e-05,1.43777336534931e-05,"MAPK15/UBE2C/DLGAP5/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",14
"BP","GO:0033046","negative regulation of sister chromatid segregation","11/657","43/18800",1.81257407908957e-07,1.6856938935533e-05,1.50178652354041e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",11
"BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","11/657","43/18800",1.81257407908957e-07,1.6856938935533e-05,1.50178652354041e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",11
"BP","GO:2000816","negative regulation of mitotic sister chromatid separation","11/657","43/18800",1.81257407908957e-07,1.6856938935533e-05,1.50178652354041e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",11
"BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","13/657","63/18800",2.15747267141443e-07,1.96283111518899e-05,1.74868837577801e-05,"MAPK15/UBE2C/DLGAP5/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",13
"BP","GO:0048736","appendage development","22/657","177/18800",2.56967580642764e-07,2.2404360937291e-05,1.99600695315059e-05,"GRHL2/MSX1/TFAP2A/FGFR2/IRF6/MSX2/DLX5/SOX9/DLX6/FREM2/BMP7/IHH/CRABP2/SP8/FRAS1/ITGB4/FGF8/DKK1/FZD6/FGF9/SLC7A11/COL2A1",22
"BP","GO:0060173","limb development","22/657","177/18800",2.56967580642764e-07,2.2404360937291e-05,1.99600695315059e-05,"GRHL2/MSX1/TFAP2A/FGFR2/IRF6/MSX2/DLX5/SOX9/DLX6/FREM2/BMP7/IHH/CRABP2/SP8/FRAS1/ITGB4/FGF8/DKK1/FZD6/FGF9/SLC7A11/COL2A1",22
"BP","GO:0018149","peptide cross-linking","10/657","36/18800",2.83347493186267e-07,2.3930491853429e-05,2.13197012248873e-05,"SPRR3/PI3/DSP/SPRR1B/SPRR1A/KRT10/EVPL/IVL/SPRR2E/FLG",10
"BP","GO:0016331","morphogenesis of embryonic epithelium","20/657","150/18800",2.85907907448375e-07,2.3930491853429e-05,2.13197012248873e-05,"GRHL2/TFAP2A/FGFR2/SIX1/OVOL2/PAX8/SPINT1/SOX9/ST14/BMP7/SPINT2/CELSR1/COBL/LRP2/HNF1B/SHROOM3/FGF8/FZD6/GRHL3/SIX4",20
"BP","GO:0051985","negative regulation of chromosome segregation","11/657","45/18800",3.00145607737383e-07,2.39490380687807e-05,2.13362240683195e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",11
"BP","GO:1905819","negative regulation of chromosome separation","11/657","45/18800",3.00145607737383e-07,2.39490380687807e-05,2.13362240683195e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",11
"BP","GO:0035082","axoneme assembly","15/657","87/18800",3.08350243350487e-07,2.39490380687807e-05,2.13362240683195e-05,"FOXJ1/RSPH1/ZMYND10/DNAAF1/CCDC65/DNAAF3/SPEF1/TEKT2/SPAG17/DNAH5/SPAG1/RP1/DNAJB13/DNAI1/SPEF2",15
"BP","GO:0010965","regulation of mitotic sister chromatid separation","13/657","65/18800",3.17370056371238e-07,2.39490380687807e-05,2.13362240683195e-05,"UBE2C/DLGAP5/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",13
"BP","GO:0044784","metaphase/anaphase transition of cell cycle","13/657","65/18800",3.17370056371238e-07,2.39490380687807e-05,2.13362240683195e-05,"MAPK15/UBE2C/DLGAP5/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",13
"BP","GO:0098813","nuclear chromosome segregation","29/657","287/18800",3.20465025532072e-07,2.39490380687807e-05,2.13362240683195e-05,"NEK2/CHMP4C/MAPK15/UBE2C/DLGAP5/CENPF/KIF4A/TTK/TOP2A/NUF2/FAM83D/CDC20/ZWINT/BUB1/CCNB1/CDT1/KIFC1/MAD2L1/BUB1B/REC8/NCAPG/PTTG1/CCNE1/TRIP13/SPC24/SPAG5/NUSAP1/ESCO2/PLK1",29
"BP","GO:0003002","regionalization","33/657","354/18800",3.27436695413858e-07,2.39686017608051e-05,2.13536533828263e-05,"MSX1/FGFR2/SIX1/FOXJ1/OVOL2/MSX2/PAX8/FOXA1/HOXB9/DNAAF1/HOXB5/HOXB6/HOXB8/SOX17/HOXB4/TBX20/COBL/SP8/LRP2/EMX2/CDX2/HOXA9/CELSR2/HOXB7/XRCC2/HNF1B/FGF8/GSC/PAX6/DKK1/FOXN4/HOXB2/PIFO",33
"BP","GO:0051784","negative regulation of nuclear division","12/657","55/18800",3.32181338620477e-07,2.39686017608051e-05,2.13536533828263e-05,"BMP7/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/TOM1L1/PLK1",12
"BP","GO:0033047","regulation of mitotic sister chromatid segregation","11/657","46/18800",3.82127487917089e-07,2.71051446937799e-05,2.41480028938863e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",11
"BP","GO:0023019","signal transduction involved in regulation of gene expression","8/657","22/18800",4.41606130650791e-07,3.08020276128927e-05,2.74415599081597e-05,"EPCAM/MSX1/MSX2/SOX17/TRAF3IP2/FGF8/GSC/PAX6",8
"BP","GO:0007094","mitotic spindle assembly checkpoint signaling","10/657","38/18800",4.9469281067168e-07,3.28617367089045e-05,2.9276556982441e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",10
"BP","GO:0071173","spindle assembly checkpoint signaling","10/657","38/18800",4.9469281067168e-07,3.28617367089045e-05,2.9276556982441e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",10
"BP","GO:0071174","mitotic spindle checkpoint signaling","10/657","38/18800",4.9469281067168e-07,3.28617367089045e-05,2.9276556982441e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",10
"BP","GO:0035107","appendage morphogenesis","19/657","142/18800",5.34803212460198e-07,3.44330991407066e-05,3.06764854823323e-05,"GRHL2/MSX1/TFAP2A/FGFR2/MSX2/DLX5/SOX9/DLX6/FREM2/BMP7/IHH/CRABP2/SP8/FRAS1/FGF8/DKK1/FZD6/FGF9/COL2A1",19
"BP","GO:0035108","limb morphogenesis","19/657","142/18800",5.34803212460198e-07,3.44330991407066e-05,3.06764854823323e-05,"GRHL2/MSX1/TFAP2A/FGFR2/MSX2/DLX5/SOX9/DLX6/FREM2/BMP7/IHH/CRABP2/SP8/FRAS1/FGF8/DKK1/FZD6/FGF9/COL2A1",19
"BP","GO:0051306","mitotic sister chromatid separation","13/657","68/18800",5.50591544281074e-07,3.47384468815334e-05,3.0948520116806e-05,"UBE2C/DLGAP5/CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/PTTG1/TRIP13/PLK1",13
"BP","GO:0061138","morphogenesis of a branching epithelium","22/657","185/18800",5.56147178270667e-07,3.47384468815334e-05,3.0948520116806e-05,"GRHL2/FGFR2/SIX1/MSX2/PAX8/FOXA1/SPINT1/SOX9/TACSTD2/ST14/EYA1/ESR1/TBX20/BMP7/IHH/SPINT2/CELSR1/HOXB7/HNF1B/FGF8/SEMA3E/SIX4",22
"BP","GO:2000027","regulation of animal organ morphogenesis","18/657","129/18800",5.65492985577404e-07,3.48027668329623e-05,3.10058228315041e-05,"MSX1/SIX1/PAX8/SOX9/TACSTD2/BMP7/PAX9/CELSR1/SPEF1/STOX1/CELSR2/HOXB7/FGF8/DKK1/FZD6/GPC4/GRHL3/SIX4",18
"BP","GO:0031577","spindle checkpoint signaling","10/657","39/18800",6.44590598673356e-07,3.90958210934492e-05,3.48305095423497e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",10
"BP","GO:0060993","kidney morphogenesis","15/657","93/18800",7.5377267754785e-07,4.50648379362536e-05,4.01483131409697e-05,"SIX1/FOXJ1/PAX8/ERBB4/SOX9/TACSTD2/EYA1/BMP7/FRAS1/HOXB7/GCNT3/GCNT1/HNF1B/FGF8/SIX4",15
"BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","10/657","40/18800",8.32737450729279e-07,4.90845948070709e-05,4.37295189100535e-05,"CENPF/TTK/ZWINT/BUB1/CCNB1/CDT1/MAD2L1/BUB1B/TRIP13/PLK1",10
